목적지명,목적지X좌표,목적지Y좌표,목적지읍면동명,중분류,소분류,방문건수,방문건수구간
고운풍경펜션,127.0238221,36.52941561,사곡면,숙박,펜션,3,1
고운피부과의원,127.1411732,36.47408927,신관동,의료시설,의원,22,4
고은아이소아청소년과의원,127.1528408,36.47582236,월송동,의료시설,의원,9,3
고창애풍천장어,127.1606439,36.45075871,옥룡동,음식점,전문음식점,83,5
고향국밥집,127.06407,36.36187939,이인면,음식점,한식,3,1
고향보신탕,127.1209253,36.44578682,중학동,음식점,한식,3,1
고향손칼국수,127.1579595,36.48163409,월송동,음식점,한식,224,5
곡물집,127.1195365,36.44959194,중학동,음식료,음식료기타,22,4
곤드레쌈밥/[한식],127.1197851,36.60549081,정안면,음식점,한식,13,3
골드리버CC,127.1633932,36.50369713,의당면,레저/스포츠,골프장,626,5
골프존파크/신관썬스크린골프존점,127.1328129,36.47078404,신관동,레저/스포츠,골프연습장,7,3
골프존파크/월송나사스크린점,127.1491725,36.47642238,월송동,레저/스포츠,골프연습장,12,3
곰골식당,127.120543,36.45184527,중학동,음식점,한식,1373,5
곰골식당/월송점,127.1544019,36.47241,월송동,음식점,한식,30,4
곰나루국민관광단지,127.1108426,36.47045062,웅진동,관광명소,놀이공원,4,2
곰나루국민관광단지,127.1108426,36.47045062,웅진동,관광명소,유원지,6,2
곰나루식당,127.1233416,36.45909088,웅진동,음식점,한식,3,1
곰나루파크골프장,127.0997604,36.459921,웅진동,레저/스포츠,골프장,10,3
곰선생동태씨,127.1432595,36.4673465,신관동,음식점,한식,76,5
곰탑공원,127.1240915,36.46600676,웅진동,관광명소,공원,6,2
곱깨비/신관점,127.1364486,36.4711762,신관동,음식점,전문음식점,3,1
공다방,127.1230638,36.46509019,웅진동,카페,카페기타,20,4
공산성,127.1253692,36.46447916,웅진동,관광명소,성,8478,5
공산성/방문자센터,127.1235915,36.464868,웅진동,관광명소,관광안내소,6,2
공산성/임시주차장,127.1251192,36.460063,웅진동,자동차시설,주차장,7,3
공산성본가,127.1221355,36.46398156,웅진동,음식점,한식,17,4
공산성부추해물칼국수,127.1227305,36.46447915,웅진동,음식점,한식,6,2
공산성입구,127.1237026,36.46500687,금성동,관광명소,관광명소기타,111,5
공수원추어탕,127.0166496,36.4408959,우성면,음식점,한식,10,3
공암매운탕어죽,127.2639966,36.36721328,반포면,음식점,한식,3,1
공주건강랜드요양원,127.1426495,36.47269647,신관동,기타의료시설,요양원,19,4
공주경비행장,127.1266236,36.50928255,의당면,레저/스포츠,레저/스포츠기타,8,3
공주경희한방병원,127.1490891,36.47972756,월송동,의료시설,한방병원,198,5
공주고등학교야구장,127.1225604,36.4473621,중학동,레저/스포츠,운동장/체육관,6,2
공주고마나루,127.1071763,36.46997843,웅진동,관광명소,문화유적지,17,4
공주공산성게스트하우스,127.1227567,36.46512513,웅진동,숙박,게스트하우스,12,3
공주공산성미디어아트,127.1253848,36.46450617,금성동,관광명소,축제,45,4
공주공산성연지,127.1285078,36.46384036,웅진동,관광명소,문화유적지,82,5
공주교육대학교,127.1187033,36.44431476,봉황동,교육기관,대학교,998,5
공주교육대학교/교육대학원,127.1192633,36.44580866,중학동,교육기관,대학교,3,1
공주교회,127.1162034,36.45645225,웅진동,종교,교회시설,3,1
공주구룡사지,127.2158896,36.3848221,반포면,관광명소,문화유적지,6,2
공주국민체육센터,127.1369792,36.46572909,신관동,레저/스포츠,운동장/체육관,80,5
공주기독교박물관,127.1225084,36.45098068,중학동,문화생활시설,박물관/기념관,10,3
공주기적의도서관,127.1535333,36.47275616,월송동,문화생활시설,도서관,85,5
공주농협농산물공판장,127.1225917,36.46006298,웅진동,음식료,농수축산물점,13,3
공주대나무식당,127.122925,36.46042405,웅진동,음식점,한식,4,2
공주대학교/공주신관캠퍼스,127.1399789,36.46903428,신관동,교육기관,대학교,1949,5
공주대학교/옥룡캠퍼스,127.1327575,36.45170288,옥룡동,교육기관,대학교,39,4
공주도서관,127.1263692,36.45167507,중학동,문화생활시설,도서관,12,3
공주돈까스,127.1510337,36.44298176,옥룡동,음식점,전문음식점,14,3
공주마마,127.2202222,36.42542861,반포면,음식점,전문음식점,21,4
공주무령왕릉과왕릉원,127.1128075,36.46138343,웅진동,관광명소,문화유적지,485,5
공주문예회관,127.1113982,36.46006292,웅진동,사회시설,회관,118,5
공주문화예술촌,127.1215918,36.45795211,웅진동,문화생활시설,문화생활시설기타,4,2
공주문화원,127.122564,36.45439696,중학동,문화생활시설,문화원,3,1
공주문화재단,127.1078152,36.46664548,웅진동,각종단체,재단,3,1
공주문화재야행,127.122314,36.45425809,반죽동,관광명소,축제,73,5
공주반죽동당간지주,127.1224306,36.45170276,중학동,관광명소,문화유적지,26,4
공주반포주조,127.2529695,36.39645988,반포면,업종별기업,음식료업,3,1
공주밤마실야시장,127.1237305,36.45759105,웅진동,시장,시장기타,36,4
공주벧엘정신요양원,127.0990383,36.44978624,금학동,기타의료시설,요양원,3,1
공주보늬밤참,127.121675,36.46511796,웅진동,카페,카페기타,6,2
공주보물농공단지,127.1230904,36.60107466,정안면,산업시설,지방공업단지,3,1
공주보석사우나,127.1257303,36.45956306,웅진동,생활서비스,목욕탕/사우나,62,5
공주보훈공원,127.1137567,36.4598022,웅진동,관광명소,공원,3,1
공주볼트,127.1344516,36.47225611,신관동,업종별기업,제조업,32,4
공주북캠프,126.9914084,36.51463933,신풍면,레저/스포츠,캠프장,112,5
공주사거리약국,127.1248971,36.45631342,중학동,기타의료시설,약국,4,2
공주산림휴양마을,127.1183146,36.42328937,금학동,관광명소,자연휴양림,262,5
공주산림휴양마을/목재문화체험장,127.1205922,36.42184511,금학동,문화생활시설,문화생활시설기타,7,3
공주산성시장,127.1236194,36.45756327,웅진동,시장,종합시장,3149,5
공주산성시장문화공원,127.1229806,36.45706333,웅진동,관광명소,공원,24,4
공주살롱,127.1419395,36.47327471,신관동,카페,카페기타,3,1
공주삼성요양원,127.1251135,36.4569784,웅진동,기타의료시설,요양원,3,1
공주상신리당간지주,127.2179823,36.38436626,반포면,관광명소,문화유적지,6,2
공주서울내과의원,127.1251751,36.45698354,웅진동,의료시설,의원,14,3
공주성모안과의원,127.1242582,36.46028519,웅진동,의료시설,의원,13,3
공주세종패밀리랜드,127.1547829,36.50316936,의당면,레저/스포츠,테마파크,9,3
공주소풍펜션,127.0231555,36.52477724,사곡면,숙박,펜션,20,4
공주숲클라이밍짐,127.1400066,36.47692227,신관동,레저/스포츠,레저/스포츠기타,3,1
공주시 산성시장 공영주차장,127.1227306,36.45881313,산성동,자동차시설,주차장,107,5
공주시 신관동 공원주차장,127.1358959,36.47264496,신관동,자동차시설,주차장,16,4
공주시가족센터,127.1327601,36.4532843,옥룡동,사회시설,사회시설기타,16,4
공주시공동육아나눔터/3호점,126.9531615,36.55357911,유구읍,사회시설,사회복지시설,3,1
공주시농업기술센터,127.0982324,36.49380899,우성면,각종단체,센터,329,5
공주시농업기술센터/농업회관,127.097538,36.49411451,우성면,각종단체,센터,19,4
공주시농업전시관,127.0989256,36.49336158,우성면,문화생활시설,전시장,12,3
공주시니어클럽,127.1281744,36.47195055,신관동,사회시설,사회복지시설,3,1
공주시립박찬호야구장,127.1306829,36.4838295,신관동,레저/스포츠,운동장/체육관,134,5
공주시립웅진도서관,127.1111205,36.46092393,웅진동,문화생활시설,도서관,94,5
공주시립테니스장,127.1006211,36.49097599,신관동,레저/스포츠,테니스,105,5
공주시민운동장,127.1091762,36.46150718,웅진동,레저/스포츠,운동장/체육관,1194,5
공주시보건소,127.120703,36.45706331,웅진동,의료시설,보건소/지소,366,5
공주시시민재난안전센터,127.0990379,36.49444781,신관동,문화생활시설,문화생활시설기타,3,1
공주시장애인종합복지관,127.1296742,36.47456137,신관동,사회시설,사회복지시설,6,2
공주시정신건강복지센터,127.1235916,36.46031296,웅진동,사회시설,사회복지시설,9,3
공주시종합사회복지관,127.1361179,36.49472577,의당면,사회시설,사회복지시설,58,5
공주시청년센터,127.1245082,36.45295269,중학동,각종단체,센터,3,1
공주시학교급식지원센터,127.0275447,36.44681394,우성면,업종별기업,음식료업,9,3
공주실버랜드,127.1440903,36.40262521,계룡면,사회시설,사회복지시설,3,1
공주쌍신집칼국수,127.1199634,36.48147016,월송동,음식점,한식,853,5
공주알밤농원,127.159504,36.57868855,의당면,농/어업,농장/농원,100,5
공주알밤빵/본점,127.1218378,36.46367314,웅진동,음식점,제과점,3,1
공주알밤센터,127.1230083,36.46195166,웅진동,음식료,음식료기타,44,4
공주에덴노인병원,127.1270634,36.47547792,신관동,의료시설,일반병원,28,4
공주에서,127.1380068,36.47817212,월송동,음식점,전문음식점,16,4
공주예비군훈련장,127.1354792,36.48336595,월송동,교육기관,군교육기관,72,5
공주요양병원,126.9284973,36.51916623,신풍면,의료시설,요양병원,15,3
공주원로원,127.1457561,36.48478252,월송동,사회시설,사회복지시설,136,5
공주원예영농조합육묘장,127.1152025,36.56091254,정안면,농/어업,농/어업기타,3,1
공주유스호스텔,127.0468773,36.33327144,탄천면,숙박,유스호스텔,15,3
공주의료원,127.1094817,36.45889637,웅진동,의료시설,종합병원,1276,5
공주의료원/응급실,127.1093151,36.45931299,웅진동,의료시설,응급실,13,3
공주잉크관광호텔,127.1301147,36.46978497,신관동,숙박,호텔,169,5
공주자연농원,127.1209239,36.60301887,정안면,농/어업,농장/농원,3,1
공주제일교회,127.1227862,36.45095291,중학동,종교,교회시설,15,3
공주제일교회,127.1348129,36.4514807,옥룡동,종교,교회시설,4,2
공주중동성당,127.1274524,36.45475806,중학동,관광명소,문화유적지,103,5
공주중앙감리교회,127.1191476,36.45697998,웅진동,종교,교회시설,13,3
공주중앙장로교회,127.1518945,36.47033976,월송동,종교,교회시설,76,5
공주철물,127.1232027,36.46047961,웅진동,생활서비스,철물점,7,3
공주청소년문화센터,127.1221195,36.45398034,중학동,문화생활시설,문화센터,18,4
공주치즈스쿨,126.9402465,36.49214161,신풍면,관광명소,체험학습,18,4
공주푸르메요양병원,127.0901506,36.40937413,금학동,의료시설,일반병원,81,5
공주하늘펜션,127.0219056,36.53035993,사곡면,숙박,펜션,3,1
공주하숙마을,127.1231844,36.45219666,중학동,숙박,숙박기타,52,4
공주학생수영장,127.173948,36.48339395,월송동,레저/스포츠,수영장,74,5
공주한옥마을,127.1084818,36.46472903,웅진동,관광명소,고택/생가/민속마을,1305,5
공주환경성건강센터,127.1263946,36.43055471,금학동,기타의료시설,기타의료시설기타,80,5
공주효센터,127.0509879,36.34543675,이인면,사회시설,사회복지시설,6,2
공주휴게소/당진방향,127.1651709,36.49861439,의당면,교통시설,고속도로휴게소,104,5
공주휴게소/대전방향,127.1666706,36.49679562,월송동,교통시설,고속도로휴게소,41,4
공차/공주대점,127.1394234,36.47383929,신관동,카페,공차,9,3
공휴스테이,127.2242903,36.39773777,반포면,숙박,펜션,4,2
관풍정,127.1096761,36.46547896,웅진동,레저/스포츠,양궁/국궁,85,5
괌모텔,127.1509226,36.44350948,옥룡동,숙박,모텔/여관,3,1
광명리노인회관,127.0662367,36.33091071,탄천면,사회시설,사회복지시설,3,1
광장순대,127.1233972,36.4573133,웅진동,음식점,한식,3,1
광정파크,127.1228126,36.60482423,정안면,숙박,모텔/여관,28,4
교동면옥/공주신관점,127.1398323,36.47460346,신관동,음식점,한식,135,5
교동짬뽕/귀산리점 [중식],127.1119219,36.49820623,우성면,음식점,중식,3,1
교촌치킨/신관점,127.1428397,36.47422815,신관동,음식점,치킨,4,2
구룡가든,127.18492,36.39520963,계룡면,음식점,한식,19,4
구룡사,126.9676053,36.48272617,신풍면,종교,절,691,5
구선교사가옥,127.1265081,36.44948088,중학동,관광명소,문화유적지,7,3
구이산,127.2514485,36.3661664,반포면,음식점,한식,39,4
국립공주대학교/공주신관캠퍼스,127.1399789,36.46903428,신관동,교육기관,대학교,3897,5
국립공주대학교/옥룡캠퍼스,127.1327575,36.45170288,옥룡동,교육기관,대학교,92,5
국립공주박물관,127.1122314,36.46553452,웅진동,문화생활시설,박물관/기념관,2165,5
국립공주병원,127.1105655,36.40190288,금학동,의료시설,일반병원,370,5
국립법무병원,127.2391095,36.41323567,반포면,의료시설,정신병원,895,5
국수정,127.1396414,36.47379231,신관동,음식점,한식,18,4
굽네치킨/공주중동점,127.1239067,36.45470318,중학동,음식점,치킨,5,2
굿나루모텔,127.1435177,36.46209407,신관동,숙박,모텔/여관,26,4
굿모닝펜션,127.0216834,36.5306099,사곡면,숙박,펜션,3,1
궁전MOTEL,127.2500534,36.36668548,반포면,숙박,모텔/여관,3,1
궁전모텔,127.1229805,36.46242383,웅진동,숙박,모텔/여관,25,4
궁중떡집,127.1241749,36.45689669,웅진동,음식점,떡/한과,3,1
귀네미시래기명태찜,127.2500069,36.36060498,반포면,음식점,한식,4,2
귀빈식당,127.0197666,36.55635695,사곡면,음식점,한식,36,4
귀연당,127.1532642,36.5547769,의당면,음식점,한식,12,3
그때그때카페,127.1075097,36.45653552,웅진동,카페,카페기타,13,3
그랜드재활요양원,126.9540686,36.55098041,유구읍,기타의료시설,요양원,3,1
그루잠/공주점,127.2549971,36.40362575,반포면,카페,카페기타,17,4
그리드,127.2556083,36.38801642,반포면,카페,카페기타,23,4
그리심글램핑장,127.1477882,36.58915623,정안면,레저/스포츠,캠프장,9,3
그린파크,126.9513562,36.5479964,유구읍,숙박,모텔/여관,3,1
그린홈,127.1423953,36.47472809,신관동,건축자재,인테리어,3,1
근영푸드,127.108678,36.50727852,우성면,업종별기업,음식료업,3,1
금강6경(고마나루솔밭)/웅진지구1,127.1033433,36.46622883,웅진동,관광명소,관광명소기타,3,1
금강기사식당,127.1237067,36.46120858,웅진동,음식점,한식,3,1
금강사회복지관,127.1342574,36.44836994,옥룡동,사회시설,사회복지시설,8,3
금강신관공원,127.1310353,36.46750663,신관동,관광명소,공원,7885,5
금강신관공원/축구장,127.135896,36.46481252,신관동,레저/스포츠,운동장/체육관,9,3
금강신관공원야구장,127.1340906,36.46581239,신관동,레저/스포츠,운동장/체육관,4,2
금강아트센터,127.2021189,36.42894986,반포면,문화생활시설,화랑/전시관,12,3
금강약국,127.1378124,36.47353376,신관동,기타의료시설,약국,3,1
금강억새단지,127.0459097,36.41673733,우성면,관광명소,관광명소기타,6,2
금강온천,127.1075652,36.46297923,웅진동,관광명소,온천,219,5
금강온천모텔,127.1073152,36.4632292,웅진동,숙박,모텔/여관,3,1
금강의아침펜션,127.0747386,36.44444679,금학동,숙박,펜션,3,1
금계캠핑장,126.9836025,36.63759745,유구읍,여행/레저기타,여행/레저기타,77,5
금동산미술관,127.1233672,36.60821561,정안면,문화생활시설,미술관,3,1
금성낙지,127.1217459,36.4665964,웅진동,음식점,전문음식점,3,1
금성모텔,127.1215575,36.46228107,웅진동,숙박,모텔/여관,9,3
금성회관,127.1317574,36.46895091,신관동,음식점,한식,22,4
금정알밤농원,127.1095086,36.56082918,정안면,농/어업,농장/농원,5,2
금학생태공원,127.1241203,36.43357365,금학동,관광명소,공원,47,4
기산1리소와리경로당,127.1516453,36.38912679,계룡면,사회시설,사회복지시설,3,1
기산저수지,127.1336469,36.38371064,계룡면,관광명소,저수지,4,2
기찬메밀국수,127.2563862,36.36571341,반포면,음식점,한식,38,4
길갈,127.1215646,36.45018338,중학동,음식점,일식,62,5
김밥천국/신관터미널점,127.1344239,36.46867318,신관동,음식점,분식,10,3
까우,127.136257,36.47167285,신관동,음식점,세계요리,109,5
꼭지네,127.1297576,36.47108954,신관동,술집,호프,7,3
꿈의교회,127.1098428,36.45742432,웅진동,종교,교회시설,34,4
나그네식당,127.1206225,36.44682638,중학동,음식점,한식,5,2
나래원식당,127.0449602,36.39956943,이인면,음식점,한식,20,4
나사볼링센터/공주점,127.1491931,36.47639567,월송동,레저/스포츠,볼링장,13,3
나이키/공주점,127.1244527,36.4557857,중학동,의류/직물,스포츠·캐주얼의류,5,2
나태주풀꽃문학관,127.1199467,36.45361851,중학동,문화생활시설,문화생활시설기타,100,5
남성식당,127.1468573,36.49798819,의당면,음식점,한식,4,2
남양화학공업,127.1293396,36.61968369,정안면,업종별기업,화학,45,4
내고향묵집,127.254688,36.3957495,반포면,음식점,한식,5,2
내재,127.1800034,36.44514835,옥룡동,카페,카페기타,94,5
넘버25호텔,127.1287022,36.47039517,신관동,숙박,모텔/여관,121,5
노가드네,127.2165953,36.41306598,반포면,음식점,한식,59,5
노라쥬,127.1201181,36.64007019,정안면,관광명소,동식물원,108,5
노랑오리농업회사법인,126.9482458,36.49655781,신풍면,업종별기업,음식료업,3,1
노브랜드/공주신관동점,127.1400253,36.47693618,신관동,슈퍼/마트,슈퍼/마트 기타,123,5
노브랜드/공주신관동점,127.14009,36.47695005,신관동,슈퍼/마트,슈퍼/마트 기타,84,5
노브랜드버거/공주신관점,127.1402566,36.47358932,신관동,음식점,패스트푸드,42,4
녹수원글램핑,126.9699271,36.62864572,유구읍,레저/스포츠,캠프장,23,4
녹주맥반석가마찜질방/공주점,127.1575061,36.36199103,계룡면,생활서비스,찜질방,6,2
농업회사법인제이팜스,127.145618,36.39623706,계룡면,음식료,음식료기타,3,1
눈썹달,127.123425,36.45300824,중학동,음식점,한식,6,2
뉴올,127.124479,36.61976698,정안면,업종별기업,제조업,3,1
늘봄/[한식],127.2472482,36.35971404,반포면,음식점,한식,4,2
늘봄정원,127.1003618,36.47208032,우성면,카페,카페기타,25,4
늘푸른교회,127.1221751,36.4572022,웅진동,종교,교회시설,7,3
늘푸른솔,127.0466806,36.58640923,사곡면,음식점,한식,3,1
늘푸른요양원,127.1193975,36.46731214,웅진동,기타의료시설,요양원,6,2
능소야,127.1032324,36.45261927,웅진동,음식점,한식,54,5
능애낚시터,127.08215,36.55474638,정안면,레저/스포츠,낚시,3,1
다담,127.242943,36.36013063,반포면,음식점,한식,46,4
