목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
내고향묵집,127.2546879777189,36.39574949751163,반포면,1.0,월요일
내재,127.180003365902,36.445148351788,옥룡동,18.0,월요일
네일미떼,127.25852499165804,36.51464236276082,세종특별자치시,1.0,월요일
노랑통닭/충남공주점,127.1347511618934,36.472344153395326,신관동,3.0,월요일
노브랜드/세종조치원점,127.29205299627448,36.590798409607096,세종특별자치시,1.0,월요일
논두렁민물매운탕,127.02787773398,36.8472094312177,충청남도 아산시,2.0,월요일
다비치안경/공주산성시장점,127.124522649818,36.4590180539537,웅진동,1.0,월요일
다비치안경/둔산로데오점,127.389918435804,36.3476819164641,대전광역시 서구,1.0,월요일
다이소/계룡점,127.240938384689,36.2889070650936,충청남도 계룡시,1.0,월요일
다이소/대전용문점,127.39131865819267,36.33942977996846,대전광역시 서구,1.0,월요일
다이소/아산배방점,127.053749772239,36.7752810792294,충청남도 아산시,2.0,월요일
다이소/장성점,126.78020181755852,35.29504861066499,전라남도 장성군,1.0,월요일
다이소/천안성거점,127.19666051271156,36.86757985557001,충청남도 천안시 서북구,1.0,월요일
다이소/충남홍성본점,126.666266436112,36.6008141955411,충청남도 홍성군,1.0,월요일
달빛에구운고등어/관저점,127.33673907993608,36.29657995088029,대전광역시 서구,1.0,월요일
달샤브샤브,126.98431221830644,36.76946916904871,충청남도 아산시,1.0,월요일
달콩수제팥빙수단팥죽,127.33834048549454,36.35183309333261,대전광역시 유성구,1.0,월요일
닭발1번지/세종본점,127.2600092925966,36.48177578614521,세종특별자치시,1.0,월요일
대광해물칼국수,127.131758863354,36.4711651701614,신관동,2.0,월요일
대구파티마병원,128.624391459798,35.8843885195477,대구광역시 동구,1.0,월요일
대국환경기업,126.717943335667,37.3910650375768,인천광역시 남동구,1.0,월요일
대길환경,127.046821094851,36.408957261784,이인면,1.0,월요일
대덕구노인종합복지관,127.431447664099,36.3782655327643,대전광역시 대덕구,1.0,월요일
대왕산삼백숙본가,127.31426362971,36.3962005182095,대전광역시 유성구,1.0,월요일
대전대학교,127.460042013819,36.3362868203317,대전광역시 동구,2.0,월요일
대전산성교회,127.370098140351,36.3015072445414,대전광역시 서구,1.0,월요일
대전중앙시장,127.4331992453394,36.32955171258172,대전광역시 동구,1.0,월요일
대하촌,127.157199783154,36.4514530550745,옥룡동,3.0,월요일
더세종약국,127.2565241035497,36.48849154835258,세종특별자치시,1.0,월요일
더코지캠핑장,127.10346271588791,36.27741749978711,충청남도 논산시,2.0,월요일
더함뜰,127.295957486698,36.3460086234211,대전광역시 유성구,1.0,월요일
더휴식아늑호텔/대전용전1호점,127.440822549138,36.3514521163044,대전광역시 동구,1.0,월요일
도깨비아구찜,127.13285329265044,36.47186887841811,신관동,4.0,월요일
도미노피자/천안쌍용점,127.10938965360648,36.803155836348296,충청남도 천안시 서북구,1.0,월요일
도연정,126.969937789974,36.5529681608167,유구읍,5.0,월요일
독립기념관,127.22280833066404,36.78366949071773,충청남도 천안시 동남구,3.0,월요일
동아방송예술대학교,127.35817028770944,37.05958231025038,경기도 안성시,1.0,월요일
동양건재부문/전주공장,127.145835615281,35.9534773906803,전라북도 완주군,6.0,월요일
동원레미콘/세종공장,127.260163226205,36.4092640240536,반포면,1.0,월요일
동인체험학습장,127.20020732966653,37.15226905467695,경기도 용인시 처인구,1.0,월요일
동춘동성당,126.666213813583,37.4024237203168,인천광역시 연수구,1.0,월요일
동학사1로부대찌개,127.25551921501908,36.36563685964131,반포면,2.0,월요일
동학사짬뽕/[중식],127.25393674147472,36.362775091334726,반포면,2.0,월요일
두만리마을회관,127.139811562594,36.5494695465235,의당면,1.0,월요일
듀크로스터리앤드도넛,127.128925360618,36.7756009305383,충청남도 천안시 동남구,1.0,월요일
들마루칼국수,127.145462204956,36.4768590130206,월송동,1.0,월요일
등촌샤브칼국수/신불당점,127.110092724056,36.819141791402,충청남도 천안시 서북구,1.0,월요일
디에떼에스프레소/테크노점,127.391659447908,36.4229851428331,대전광역시 유성구,1.0,월요일
따따부따감자탕,127.13685361290874,36.47252199331304,신관동,1.0,월요일
또또찹쌀도나스,127.33575883438,36.3556361275405,대전광역시 유성구,5.0,월요일
라이트풀,127.167939740064,36.574428001682,의당면,1.0,월요일
러버스커피,128.898925620754,37.7544256322632,강원특별자치도 강릉시,1.0,월요일
러스틱하우스틈,127.11973704017066,36.45037335720366,중학동,2.0,월요일
레지던스호텔라미아,127.38059049672722,36.35308389259984,대전광역시 서구,1.0,월요일
로뎀주간보호센터,127.122536209742,36.4505640655619,중학동,2.0,월요일
로이병원,126.96898733884755,37.60674054619789,서울특별시 종로구,1.0,월요일
롤링핀/공주점,127.141201004509,36.474117043374,신관동,1.0,월요일
