목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
동학사,127.22005618183988,36.353353489974936,반포면,65.0,월요일
동혈사,127.159313404228,36.5559122511393,의당면,2.0,월요일
두두당,127.450737951125,36.4482272957462,대전광역시 대덕구,1.0,월요일
등촌샤브칼국수/세종본점,127.2371298534375,36.49905718021474,세종특별자치시,1.0,월요일
라무즈,127.280145398919,36.4648614144425,세종특별자치시,1.0,월요일
라피스라줄리,127.156171826355,36.481644050016,월송동,2.0,월요일
로컬하우스,127.11806431387332,36.45866829349789,중학동,2.0,월요일
론테니스존/대전점,127.374883883467,36.3523188112527,대전광역시 서구,2.0,월요일
롯데리아/세종소담점,127.30053697224288,36.484904938106126,세종특별자치시,1.0,월요일
롯데마트/군산점,126.716411195393,35.9648100448134,전라북도 군산시,1.0,월요일
롯데마트/대덕점,127.38697003267,36.4271457848067,대전광역시 유성구,4.0,월요일
롯데백화점/본점,126.98175414832636,37.564905601247865,서울특별시 중구,1.0,월요일
롯데시네마/대전센트럴,127.37949994237754,36.35196179392484,대전광역시 서구,4.0,월요일
마곡사미식정순두부/[한식],127.01955494054164,36.5565533432422,사곡면,3.0,월요일
마티석갈비,127.259885833331,36.369296352626,반포면,2.0,월요일
막창품은뒷고기/오창산단점,127.45447388796023,36.7364369814889,충청북도 청주시 청원구,1.0,월요일
만년횟집,127.371676366178,36.3665854015874,대전광역시 서구,1.0,월요일
맑은내과외과의원,127.24996365847474,36.50291766644485,세종특별자치시,2.0,월요일
맛소야/직영점,127.414597665296,36.3388105838901,대전광역시 중구,1.0,월요일
맛있는꼬기,127.123385953343,36.4569645804192,중학동,2.0,월요일
메인퍼스트,127.42637735046594,36.333183651899816,대전광역시 중구,1.0,월요일
명륜진사갈비/충남논산점,127.09584372127696,36.1822266196463,충청남도 논산시,1.0,월요일
명주원,127.26413776733432,36.41242543288952,반포면,1.0,월요일
명품한우타운,127.29064216853274,36.47306660470963,세종특별자치시,2.0,월요일
명품한우타운/다정점,127.23565220538896,36.49874019749128,세종특별자치시,1.0,월요일
모덕사,127.007656185593,36.4462357482508,우성면,3.0,월요일
목구멍/아산탕정점,127.05823711617,36.79746441208,충청남도 아산시,1.0,월요일
무궁화회관,127.12175085840867,36.4520275783658,중학동,4.0,월요일
무르익,127.215767303769,36.4929338126211,세종특별자치시,2.0,월요일
무이사회,127.184688865671,35.8429147105337,전라북도 전주시 덕진구,1.0,월요일
